T444,K365
T445,K395
T446,K391
T447,K392
T448,K393
T449,K176
T450,K177
T451,K178
T452,K194
T453,K197
T454,K198
T455,K199
T456,K195
T457,K196
T458,K418
T459,K538
T460,K537
T461,K149
T462,K150
T463,K470
T464,K222
T465,K223
T466,K224
T467,K225
T468,K412
T469,K1309
T470,K265
T471,K267
T472,K1099
T473,K1211
T474,K120
T475,K119
T476,K121
T477,K122
T478,K123
T479,K124
T480,K415
T481,K145
T482,K146
T483,K544
T484,K381
T485,K409
T486,K497
T487,K491
T488,K1227
T489,K1476
T490,K1212
T491,K1030
T492,K761
T493,K817
T494,K836
T495,K770
T496,K831
T497,K839
T498,K1448
T500,K850
T501,K851
T502,K849
T503,K886
T504,K873
T505,K1472
T506,K826
T507,K821
T508,K791
T509,K253
T510,K254
T511,K785
T512,K796
T513,K787
T514,K260
T515,K258
T516,K1417
T517,K848
T518,K846
T519,K845
T520,K503
T521,K879
T522,K877
T523,K863
T524,K1357
T525,K815
T526,K226
T527,K228
T528,K227
T529,K822
T530,K816
T531,K776
T532,K358
T533,K359
T534,K219
T535,K234
T536,K220
T537,K794
T538,K834
T539,K859
T540,K505
T541,K843
T542,K844
T544,K854
T545,K221
T546,K1103
T547,K1382
T548,K1174
T549,K1437
T550,K1483
T551,K759
T552,K762
T553,K782
T555,K768
T556,K784
T557,K270
T558,K275
T559,K216
T560,K218
T561,K217
T562,K231
T563,K232
T564,K233
T565,K204
T566,K205
T567,K356
T568,K489
T569,K461
T570,K469
T571,K837
T572,K511
T573,K492
T574,K487
T575,K264
T576,K266
T577,K494
T578,K855
T579,K500
T580,K514
T581,K786
T582,K884
T583,K819
T584,K869
T585,K142
T586,K143
T587,K144
T588,K372
T589,K463
T590,K856
T591,K481
T592,K881
T593,K261
T594,K1147
T595,K1111
T596,K513
T597,K780
T598,K377
T599,K495
T600,K548
T601,K1140
T602,K806
T603,K807
T604,K887
T605,K814
T606,K984
T607,K986
T608,K1028
T609,K1012
T610,K1011
T611,K1008
T612,K874
T613,K798
T614,K991
T615,K996
T616,K1004
T617,K1010
T618,K1003
T619,K1006
T620,K744
T621,K471
T622,K273
T623,K274
T624,K129
T625,K130
T626,K179
T627,K175
T628,K1408
T629,K180
T630,K363
T631,K547
T632,K172
T633,K173
T635,K407
T636,K170
T637,K171
T638,K386
T639,K181
T640,K182
T641,K183
T642,K378
T643,K401
T644,K501
T645,K138
T646,K139
T647,K399
T648,K482
T649,K405
T650,K168
T651,K169
T653,K529
T654,K1438
T655,K1470
T656,K385
T657,K396
T658,K134
T660,K133
T661,K244
T662,K245
T663,K1465
T664,K128
T665,K127
T666,K360
T667,K1359
T668,K490
T669,K235
T670,K159
T671,K160
T672,K161
T673,K151
T674,K152
T675,K153
T676,K154
T677,K155
T678,K156
T680,K460
T681,K417
T682,K1344
T683,K366
T684,K883
T685,K277
T686,K283
T687,K827
T688,K237
T689,K236
T690,K249
T691,K250
T692,K281
T693,K280
T694,K419
T695,K278
T696,K279
T697,K284
T698,K262
T699,K498
T700,K486
T701,K367
T702,K408
T703,K828
T704,K1101
T705,K1176
T706,K1471
T707,K860
T708,K268
T709,K272
T710,K1297
T711,K1191
T713,K269
T714,K259
T715,K1245
T716,K157
T717,K158
T718,K1409
T719,K1127
T720,K1033
T721,K801
T722,K1116
T723,K1044
